GOLDPOS	SID	TID	TOKEN	POS1	POS2
_	1	1	kurzer	ADJA	ADJA
_	1	2	Bericht	NN	NN
_	1	3	/	$(	$(
KOUS	1	4	wie	PWAV	KOUS
_	1	5	sich	PRF	PRF
_	1	6	Hauß= Vaͤter	NN	NN
_	1	7	und	KON	KON
_	1	8	Mütter	NN	NN
_	1	9	/	$(	$(
_	1	10	auch	ADV	ADV
PIS	1	11	jedermänniglich	ADJD	ADJD
_	1	12	in	APPR	APPR
_	1	13	dieser	PDAT	PDAT
_	1	14	gefährlichen	ADJA	ADJA
_	1	15	Pest = Zeit	NN	NN
_	1	18	verhalten	VVINF	VVINF
_	1	19	und	KON	KON
_	1	20	mit	APPR	APPR
_	1	21	Arzneien	NN	NN
_	1	22	versorgen	VVINF	VVINF
_	1	23	soll	VMFIN	VMFIN
_	1	24	.	$.	$.
_	2	1	dem	ART	ART
ADJA	2	2	lieben	VVFIN	ADJA
_	2	3	Armut	NN	NN
APPR	2	4	zu	PTKZU	APPR
NN	2	5	gute	ADJA	ADJA
_	2	6	/	$(	$(
_	2	7	aus	APPR	APPR
_	2	8	treuen	ADJA	ADJA
_	2	9	und	KON	KON
_	2	10	wohlmeinenden	ADJA	ADJA
_	2	11	Gemüt	NN	NN
_	2	12	vorgestellt	VVPP	VVPP
_	2	13	durch	APPR	APPR
NE	2	14	Martinum	NE	NN
NE	2	15	Heer	NE	NN
_	2	16	/	$(	$(
_	2	17	Medikus	NN	NN
NN	3	1	Doktor	NE	NN
_	3	3	und	KON	KON
NN	3	4	Stadtphysikus	NN	NN
APPR	3	5	zu	PTKZU	APPR
_	3	6	Görlitz	NE	NE
_	3	7	.	$.	$.
_	3	8	nebst	APPR	APPR
_	3	9	einem	ART	ART
NN	3	10	Anhang	VVFIN	NN
_	3	11	vieler	PIAT	PIAT
_	3	12	nützlichen	ADJA	ADJA
_	3	13	und	KON	KON
_	3	14	in	APPR	APPR
_	3	15	diesen	PDAT	PDAT
_	3	16	Fällen	NN	NN
_	3	17	bewährten	ADJA	ADJA
_	3	18	Pestmittel	NN	NN
_	3	19	/	$(	$(
KON	3	20	wie	PWAV	KOKOM
_	3	21	auch	ADV	ADV
_	3	22	drei	CARD	CARD
_	3	23	ihrer	PPOSAT	PPOSAT
_	3	24	sonderbaren	ADJA	ADJA
ADJA	3	25	tugendhalben	NN	ADJA
_	3	26	unschätzbare	ADJA	ADJA
NN	3	27	Remedia	NN	NE
APPR	3	28	wider	ADV	APPR
_	3	29	die	ART	ART
_	3	30	Pestilenz	NN	NN
ADJD	3	31	höchstheilsamlich	NN	ADJD
_	3	32	zu	PTKZU	PTKZU
_	3	33	gebrauchen	VVINF	VVINF
_	3	34	Görlitz	NE	NE
_	3	35	im	APPRART	APPRART
_	3	36	Jahr	NN	NN
_	3	37	Christi	NE	NE
_	3	38	1680	CARD	CARD
_	3	39	.	$.	$.
_	4	1	bei	APPR	APPR
_	4	2	dieser	PDAT	PDAT
_	4	3	,	$,	$,
ADJA	4	4	betrübten	VVFIN	ADJA
_	4	5	und	KON	KON
_	4	6	gefährlichen	ADJA	ADJA
_	4	7	Pestzeit	NN	NN
_	4	8	dem	ART	ART
ADJA	4	9	lieben	VVFIN	ADJA
_	4	10	Armut	NN	NN
ADV	4	11	zugute	PTKZU	PTKVZ
_	4	12	/	$(	$(
_	4	13	schreibe	VVFIN	VVFIN
_	4	14	ich	PPER	PPER
_	4	15	diese	PDAT	PDAT
_	4	16	Hausarzneien	NN	NN
_	4	17	/	$(	$(
_	4	18	mit	APPR	APPR
PRELS	4	19	welchen	PWAT	PIS
_	4	20	sich	PRF	PRF
_	4	21	ein	ART	ART
_	4	22	jeder	PIAT	PIAT
_	4	23	Unvermögender	NN	NN
_	4	24	und	KON	KON
_	4	25	armer	ADJA	ADJA
_	4	26	Hausvater	NN	NN
