	token_ids	tokens	goldlabels	predictions
0	1	kurzer	ADJA	ADJA
0	2	Bericht	NN	NN
0	3	/	$(	$(
0	4	wie	PWAV	KOUS
0	5	sich	PRF	PRF
0	6	Hauß= Vaͤter	NN	NE
0	7	und	KON	KON
0	8	Mütter	NN	NN
0	9	/	$(	$(
0	10	auch	ADV	ADV
0	11	jedermänniglich	ADJD	PIS
0	12	in	APPR	APPR
0	13	dieser	PDAT	PDAT
0	14	gefährlichen	ADJA	ADJA
0	15	Pest = Zeit	NN	NN
0	18	verhalten	VVINF	VVFIN
0	19	und	KON	KON
0	20	mit	APPR	APPR
0	21	Arzneien	NN	NN
0	22	versorgen	VVINF	VVINF
0	23	soll	VMFIN	VMFIN
0	24	.	$.	$.
1	1	dem	ART	ART
1	2	lieben	VVFIN	ADJA
1	3	Armut	NN	NN
1	4	zu	PTKZU	APPR
1	5	gute	ADJA	ADJA
1	6	/	$(	$(
1	7	aus	APPR	APPR
1	8	treuen	ADJA	ADJA
1	9	und	KON	KON
1	10	wohlmeinenden	ADJA	ADJA
1	11	Gemüt	NN	NN
1	12	vorgestellt	VVPP	VVPP
1	13	durch	APPR	APPR
1	14	Martinum	NE	NN
1	15	Heer	NE	NN
1	16	/	$(	$(
1	17	Medikus	NN	NN
2	1	Doktor	NE	NN
2	3	und	KON	KON
2	4	Stadtphysikus[6]	NN	NN
2	5	zu	PTKZU	APPR
2	6	Görlitz	NE	NE
2	7	.	$.	$.
2	8	nebst	APPR	APPR
2	9	einem	ART	ART
2	10	Anhang	VVFIN	NN
2	11	vieler	PIAT	PIAT
2	12	nützlichen	ADJA	ADJA
2	13	und	KON	KON
2	14	in	APPR	APPR
2	15	diesen	PDAT	PDAT
2	16	Fällen	NN	NN
2	17	bewährten	ADJA	ADJA
2	18	Pestmittel	NN	NN
2	19	/	$(	$(
2	20	wie	PWAV	KOKOM
2	21	auch	ADV	ADV
2	22	drei	CARD	CARD
2	23	ihrer	PPOSAT	PPOSAT
2	24	sonderbaren	ADJA	ADJA
2	25	tugendhalben	NN	ADJA
2	26	unschätzbare	ADJA	ADJA
2	27	Remedia	NN	NE
2	28	wider	ADV	APPR
2	29	die	ART	ART
2	30	Pestilenz	NN	NN
2	31	höchstheilsamlich	NN	ADJD
2	32	zu	PTKZU	PTKZU
2	33	gebrauchen	VVINF	VVINF
2	34	Görlitz	NE	NE
2	35	im	APPRART	APPRART
2	36	Jahr	NN	NN
2	37	Christi	NE	NE
2	38	1680	CARD	CARD
2	39	.	$.	$.
3	1	bei	APPR	APPR
3	2	dieser	PDAT	PDAT
