1	kurzer	ADJA
2	/	$(
3	doch	ADV
4	gründlicher	ADJD
5	Bericht	NN
6	/	$(
7	von	APPR
8	Natur	NN
9	/	$(
10	Eigenschaft	NN
11	/	$(
12	Kraft	NN
13	/	$(
14	Wirkung	NN
15	/	$(
16	und	KON
17	rechtmäßigem	ADJA
18	Gebrauch	NN
19	des	ART
20	neu	ADJD
21	erfundenen	ADJA
22	Brunnens	NN
23	/	$(
24	zun	APPRART
25	dreien	CARD
26	Tannen	NN
27	in	APPR
28	Meißen	NE
29	bei	APPR
30	der	ART
31	Zwönitz	NN
32	gelegen	VVPP
33	.	$.
1	gestellt	VVPP
2	durch	APPR
3	Medikus	NE
1	Joannem	FM.la
2	Philippum	FM.la
3	Brendelium	FM.la
4	,	$,
5	Medicum	FM.la
6	jetzo	FM.la
7	zur	FM.la
8	Neustadt	FM.la
9	an	FM.la
10	der	FM.la
11	Orla	FM.la
12	.	$.
1	samt	APPR
2	angehängtem	ADJA
3	Extract	NN
4	/	$(
5	verdeutschter	NN
6	historischer	NN
7	Beschreibung	NN
8	desselben	PDS
9	Brunnens	NN
10	/	$(
11	unlängst	ADJD
12	von	APPR
13	Medikus	NE
1	Martino	NE
2	Pfuntelio	NE
3	,	$,
4	Rectore	NN
5	zu	PTKZU
6	Plauen	NN
7	in	FM
8	Latein	NN
9	geschrieben	VVPP
10	/	$(
11	und	KON
12	in	APPR
13	Druck	NN
14	verfertigt	VVFIN
15	.	$.
16	1608	CARD
17	.	$.
1	gedruckt	VVPP
2	zu	PTKZU
3	Jena	NE
4	/	$(
5	durch	APPR
6	Johann	NE
7	Weidnern	NE
8	.	$.
1	den	ART
2	durchlauchtigen	NN
3	/	$(
4	hochgeborenen	NN
5	Fürsten	NN
6	und	KON
7	Herren	NN
8	:	$.
1	Herrn	NN
2	Johann	NE
3	Philpen	NE
4	/	$(
5	Herrn	NN
6	Friedrichen	NE
7	/	$(
8	Herrn	NN
9	Johann	NE
10	Wilhelmen	NE
11	/	$(
12	Gebrüdern	NN
13	/	$(
14	Herzögen	NE
15	zu	PTKZU
16	Sachsen	NE
17	/	$(
18	Landgrafen	NN
19	in	APPR
20	Thüringen	NE
21	/	$(
22	Markgrafen	NN
23	zu	PTKZU
24	Meißen	NE
25	/	$(
26	et cetera	ADV
1	meinen	VVFIN
2	gnädigen	ADJA
3	Fürsten	NN
4	und	KON
5	Herren	NN
6	.	$.
1	durchleuchtige	NN
2	/	$(
3	hochgeborene	NN
4	Fürsten	NN
5	/	$(
6	euren	NN
7	fürstlichen	NN
8	Gnaden	NN
9	sind	VAFIN
10	meine	PPOSAT
11	untertänigen	ADJA
12	Dienste	NN
13	jederzeit	ADV
14	ganz	ADV
15	willig	ADJD
16	zuvor	ADV
17	:	$.
1	gnädige	NN
2	Fürsten	NN
3	und	KON
4	Herren	NN
5	/	$(
6	der	ART
7	Engel	NE
8	Raphael	NE
9	sagt	VVFIN
10	im	APPRART
11	Buch	NN
12	Tobias	NE
13	am	APPRART
14	12.	ADJA
15	Kapitel	NN
16	/	$(
17	der	ART
18	Könige	NN
19	und	KON
20	Fürsten	NN
21	Rat	NN
22	und	KON
23	Heimlichkeit	NN
24	soll	VMFIN
25	man	PIS
26	verschweigen	VVINF
27	/	$(
28	aber	KON
29	Gottes	NN
30	Werk	NN
31	soll	VMFIN
32	man	PIS
33	herrlich	ADJD
34	preisen	VVFIN
35	und	KON
36	offenbaren	VVINF
37	.	$.
