SID	TID	TOKEN	POS1	POS2
1	1	wie	PWAV	KOUS
1	2	man	PIS	PIS
1	3	denen	PRELS	PDS
1	4	helfen	VVINF	VVINF
1	5	soll	VMFIN	VMFIN
1	6	/	$(	$(
1	7	welche	ADJA	PRELS
1	8	mit	APPR	APPR
1	9	der	ART	ART
1	10	pestilenzische	NE	ADJA
1	11	Gift	NN	NN
1	12	begriffen	VVPP	VVPP
1	13	sind	VAFIN	VAFIN
1	14	.	$.	$.
2	1	durch	APPR	APPR
2	2	Doctor	NE	NN
2	3	Jodocum	NE	NN
2	4	Willichium	NE	NN
2	5	von	APPR	APPR
2	6	Resell	NE	NN
2	7	.	$.	$.
3	1	gedruckt	VVPP	ADJD
3	2	zu	PTKZU	APPR
3	3	Frankfurt	NE	NE
3	4	an	APPR	APPR
3	5	der	ART	ART
3	6	Oder	KON	NE
3	7	durch	APPR	APPR
3	8	Johann	NE	NE
3	9	Eichorn.	NN	NE
3	10	M.	NE	NE
3	11	D.	NE	NE
3	12	L.	NE	NE
4	1	wie	PWAV	KOUS
4	2	man	PIS	PIS
4	3	denen	PRELS	PDS
4	4	helfen	VVINF	VVINF
4	5	soll	VMFIN	VMFIN
4	6	/	$(	$(
4	7	welche	PWAT	PRELS
4	8	mit	APPR	APPR
4	9	der	ART	ART
4	10	pestilenzische	NE	ADJA
4	11	Gift	NN	NN
4	12	begriffen	VVPP	VVPP
4	13	sind	VAFIN	VAFIN
4	14	.	$.	$.
5	1	wann	PWAV	PWAV
5	2	einer	ART	PIS
5	3	begriffen	VVPP	VVPP
5	4	ist	VAFIN	VAFIN
5	5	mit	APPR	APPR
5	6	der	ART	ART
5	7	Pestilenz	NN	NN
5	8	/	$(	$(
5	9	soll	VMFIN	VMFIN
5	10	er	PPER	PPER
5	11	zuvoraus	ADV	ADV
5	12	zu	PTKZU	APPR
5	13	Gott	NN	NN
5	14	laufen	VVFIN	VVINF
5	15	/	$(	$(
5	16	und	KON	KON
5	17	darnach	PAV	ADV
5	18	Gottes	NN	NN
5	19	Gaben	VVFIN	NN
5	20	gebrauchen	VVINF	VVFIN
5	21	zur	APPRART	APPRART
5	22	Gesundheit	NN	NN
5	23	/	$(	$(
5	24	und	KON	KON
5	25	alles	PIS	PIS
5	26	in	APPR	APPR
5	27	Gottes	NN	NN
5	28	Willen	NN	NN
5	29	stellen	VVINF	VVINF
5	30	/	$(	$(
5	31	wie	KOKOM	KOUS
5	32	einem	ART	ART
5	33	frommen	ADJA	ADJA
5	34	Christen	NN	NN
5	35	gebührt	VVFIN	VVPP
5	36	und	KON	KON
5	37	geziemt	VVFIN	VVFIN
5	38	.	$.	$.
6	1	also	ADV	ADV
6	2	hat	VAFIN	VAFIN
6	3	Jesus	NE	NE
6	4	Syrach	NE	NE
6	5	am	APPRART	APPRART
6	6	38	XY	CARD
6	7	Kapitel	NE	NN
6	8	vormahnt	VVFIN	VVFIN
6	9	/	$(	$(
6	10	mit	APPR	APPR
