GOLDPOS	SID	TID	TOKEN	POS1	POS2
KOUS	1	1	wie	PWAV	KOUS
_	1	2	man	PIS	PIS
PDS	1	3	denen	PRELS	PDS
_	1	4	helfen	VVINF	VVINF
_	1	5	soll	VMFIN	VMFIN
_	1	6	/	$(	$(
PRELS	1	7	welche	ADJA	PRELS
_	1	8	mit	APPR	APPR
_	1	9	der	ART	ART
ADJA	1	10	pestilenzische	NE	ADJA
_	1	11	Gift	NN	NN
_	1	12	begriffen	VVPP	VVPP
_	1	13	sind	VAFIN	VAFIN
_	1	14	.	$.	$.
_	2	1	durch	APPR	APPR
NN	2	2	Doctor	NE	NN
NE	2	3	Jodocum	NE	NN
NE	2	4	Willichium	NE	NN
_	2	5	von	APPR	APPR
NE	2	6	Resell	NE	NN
_	2	7	.	$.	$.
VVPP	3	1	gedruckt	VVPP	ADJD
APPR	3	2	zu	PTKZU	APPR
_	3	3	Frankfurt	NE	NE
_	3	4	an	APPR	APPR
_	3	5	der	ART	ART
NE	3	6	Oder	KON	NE
_	3	7	durch	APPR	APPR
_	3	8	Johann	NE	NE
NE	3	9	Eichorn.	NN	NE
CARD	3	10	M.	NE	NE
CARD	3	11	D.	NE	NE
CARD	3	12	L.	NE	NE
KOUS	4	1	wie	PWAV	KOUS
_	4	2	man	PIS	PIS
PDS	4	3	denen	PRELS	PDS
_	4	4	helfen	VVINF	VVINF
_	4	5	soll	VMFIN	VMFIN
_	4	6	/	$(	$(
PRELS	4	7	welche	PWAT	PRELS
_	4	8	mit	APPR	APPR
_	4	9	der	ART	ART
ADJA	4	10	pestilenzische	NE	ADJA
_	4	11	Gift	NN	NN
_	4	12	begriffen	VVPP	VVPP
_	4	13	sind	VAFIN	VAFIN
_	4	14	.	$.	$.
KOUS	5	1	wann	PWAV	PWAV
PIS	5	2	einer	ART	PIS
_	5	3	begriffen	VVPP	VVPP
_	5	4	ist	VAFIN	VAFIN
_	5	5	mit	APPR	APPR
_	5	6	der	ART	ART
_	5	7	Pestilenz	NN	NN
_	5	8	/	$(	$(
_	5	9	soll	VMFIN	VMFIN
_	5	10	er	PPER	PPER
_	5	11	zuvoraus	ADV	ADV
APPR	5	12	zu	PTKZU	APPR
_	5	13	Gott	NN	NN
VVINF	5	14	laufen	VVFIN	VVINF
_	5	15	/	$(	$(
_	5	16	und	KON	KON
ADV	5	17	darnach	PAV	ADV
_	5	18	Gottes	NN	NN
NN	5	19	Gaben	VVFIN	NN
VVINF	5	20	gebrauchen	VVINF	VVFIN
_	5	21	zur	APPRART	APPRART
_	5	22	Gesundheit	NN	NN
_	5	23	/	$(	$(
_	5	24	und	KON	KON
_	5	25	alles	PIS	PIS
_	5	26	in	APPR	APPR
_	5	27	Gottes	NN	NN
_	5	28	Willen	NN	NN
_	5	29	stellen	VVINF	VVINF
_	5	30	/	$(	$(
KOUS	5	31	wie	KOKOM	KOUS
_	5	32	einem	ART	ART
_	5	33	frommen	ADJA	ADJA
_	5	34	Christen	NN	NN
VVFIN	5	35	gebührt	VVFIN	VVPP
_	5	36	und	KON	KON
_	5	37	geziemt	VVFIN	VVFIN
_	5	38	.	$.	$.
_	6	1	also	ADV	ADV
_	6	2	hat	VAFIN	VAFIN
_	6	3	Jesus	NE	NE
_	6	4	Syrach	NE	NE
_	6	5	am	APPRART	APPRART
CARD	6	6	38	XY	CARD
NN	6	7	Kapitel	NE	NN
_	6	8	vormahnt	VVFIN	VVFIN
_	6	9	/	$(	$(
_	6	10	mit	APPR	APPR
_	6	11	diesen	PDAT	PDAT
_	6	12	Worten	NN	NN
_	6	13	.	$.	$.
_	7	1	mein	PPOSAT	PPOSAT
_	7	2	Kind	NN	NN
_	7	3	/	$(	$(
KOUS	7	4	wann	PWAV	PWAV
PPER	7	5	du	PTKZU	PPER
_	7	6	krank	ADJD	ADJD
