	token_ids	tokens	goldlabels	predictions
0	1	wie	PWAV	PWAV
0	2	man	PIS	PIS
0	3	denen	PRELS	PDS
0	4	helfen	VVINF	VVINF
0	5	soll	VMFIN	VMFIN
0	6	/	$(	$(
0	7	welche	ADJA	PRELS
0	8	mit	APPR	APPR
0	9	der	ART	ART
0	10	pestilenzische	NE	ADJA
0	11	Gift	NN	NN
0	12	begriffen	VVPP	VVINF
0	13	sind	VAFIN	VAFIN
0	14	.	$.	$.
1	1	durch	APPR	APPR
1	2	Doctor	NE	NN
1	3	Jodocum	NE	NE
1	4	Willichium	NE	NE
1	5	von	APPR	APPR
1	6	Resell	NE	NE
1	7	.	$.	$.
2	1	gedruckt	VVPP	NE
2	2	zu	PTKZU	APPR
2	3	Frankfurt	NE	NE
2	4	an	APPR	APPR
2	5	der	ART	ART
2	6	Oder	KON	NE
2	7	durch	APPR	APPR
2	8	Johann	NE	NE
2	9	Eichorn.	NN	NE
2	10	M.	NE	NE
2	11	D.	NE	NE
2	12	L.	NE	NE
3	1	wie	PWAV	PWAV
3	2	man	PIS	PIS
3	3	denen	PRELS	PDS
3	4	helfen	VVINF	VVINF
3	5	soll	VMFIN	VMFIN
3	6	/	$(	$(
3	7	welche	PWAT	PRELS
3	8	mit	APPR	APPR
3	9	der	ART	ART
3	10	pestilenzische	NE	ADJA
3	11	Gift	NN	NN
3	12	begriffen	VVPP	VVINF
3	13	sind	VAFIN	VAFIN
3	14	.	$.	$.
4	1	wann	PWAV	PWAV
4	2	einer	ART	PIS
4	3	begriffen	VVPP	VVPP
4	4	ist	VAFIN	VAFIN
4	5	mit	APPR	APPR
4	6	der	ART	ART
4	7	Pestilenz	NN	NN
4	8	/	$(	$(
4	9	soll	VMFIN	VMFIN
4	10	er	PPER	PPER
4	11	zuvoraus	ADV	VVPP
4	12	zu	PTKZU	APPR
4	13	Gott	NN	NN
4	14	laufen	VVFIN	VVPP
4	15	/	$(	$(
4	16	und	KON	KON
4	17	darnach	PAV	PAV
4	18	Gottes	NN	NN
4	19	Gaben	VVFIN	NN
4	20	gebrauchen	VVINF	VVINF
4	21	zur	APPRART	APPRART
4	22	Gesundheit	NN	NN
4	23	/	$(	$(
4	24	und	KON	KON
4	25	alles	PIS	PIS
4	26	in	APPR	APPR
4	27	Gottes	NN	NN
4	28	Willen	NN	NN
4	29	stellen	VVINF	VVPP
4	30	/	$(	$(
4	31	wie	KOKOM	PWAV
4	32	einem	ART	ART
4	33	frommen	ADJA	VVPP
4	34	Christen	NN	NN
4	35	gebührt	VVFIN	VVPP
4	36	und	KON	KON
4	37	geziemt	VVFIN	VVFIN
4	38	.	$.	$.
5	1	also	ADV	ADV
5	2	hat	VAFIN	VAFIN
5	3	Jesus	NE	NE
5	4	Syrach	NE	NE
5	5	am	APPRART	APPRART
5	6	38	XY	ADJA
5	7	Kapitel	NE	NN
5	8	vormahnt	VVFIN	NE
5	9	/	$(	$(
5	10	mit	APPR	APPR
5	11	diesen	PDAT	PDAT
5	12	Worten	NN	NN
5	13	.	$.	$.
6	1	mein	PPOSAT	PPOSAT
