GOLDPOS	SID	TID	TOKEN	POS1	POS2
_	1	1	kurzer	ADJA	ADJA
_	1	2	/	$(	$(
_	1	3	doch	ADV	ADV
ADJA	1	4	gründlicher	ADJD	ADJA
_	1	5	Bericht	NN	NN
_	1	6	/	$(	$(
_	1	7	von	APPR	APPR
_	1	8	Natur	NN	NN
_	1	9	/	$(	$(
_	1	10	Eigenschaft	NN	NN
_	1	11	/	$(	$(
_	1	12	Kraft	NN	NN
_	1	13	/	$(	$(
_	1	14	Wirkung	NN	NN
_	1	15	/	$(	$(
_	1	16	und	KON	KON
_	1	17	rechtmäßigem	ADJA	ADJA
_	1	18	Gebrauch	NN	NN
_	1	19	des	ART	ART
_	1	20	neu	ADJD	ADJD
_	1	21	erfundenen	ADJA	ADJA
_	1	22	Brunnens	NN	NN
_	1	23	/	$(	$(
_	1	24	zun	APPRART	APPRART
_	1	25	dreien	CARD	CARD
_	1	26	Tannen	NN	NN
_	1	27	in	APPR	APPR
_	1	28	Meißen	NE	NE
_	1	29	bei	APPR	APPR
_	1	30	der	ART	ART
_	1	31	Zwönitz	NN	NN
_	1	32	gelegen	VVPP	VVPP
_	1	33	.	$.	$.
_	2	1	gestellt	VVPP	VVPP
_	2	2	durch	APPR	APPR
NN	2	3	Medikus	NE	NN
NE	3	1	Joannem	FM	NE
NE	3	2	Philippum	FM	NN
NE	3	3	Brendelium	FM	NN
_	3	4	,	$,	$,
NN	3	5	Medicum	FM	NN
ADV	3	6	jetzo	FM	ADV
APPRART	3	7	zur	FM	APPRART
NE	3	8	Neustadt	FM	NN
APPR	3	9	an	FM	APPR
ART	3	10	der	FM	ART
NE	3	11	Orla	FM	NE
_	3	12	.	$.	$.
_	4	1	samt	APPR	APPR
_	4	2	angehängtem	ADJA	ADJA
_	4	3	Extract	NN	NN
_	4	4	/	$(	$(
ADJA	4	5	verdeutschter	NN	ADJA
ADJA	4	6	historischer	NN	ADJA
_	4	7	Beschreibung	NN	NN
PDAT	4	8	desselben	PDS	PDAT
_	4	9	Brunnens	NN	NN
_	4	10	/	$(	$(
ADV	4	11	unlängst	ADJD	ADV
_	4	12	von	APPR	APPR
NN	4	13	Medikus	NE	NN
_	5	1	Martino	NE	NE
_	5	2	Pfuntelio	NE	NE
_	5	3	,	$,	$,
_	5	4	Rectore	NN	NN
APPR	5	5	zu	PTKZU	APPR
NE	5	6	Plauen	NN	NE
APPR	5	7	in	FM	APPR
_	5	8	Latein	NN	NN
_	5	9	geschrieben	VVPP	VVPP
_	5	10	/	$(	$(
_	5	11	und	KON	KON
_	5	12	in	APPR	APPR
_	5	13	Druck	NN	NN
VVPP	5	14	verfertigt	VVFIN	VVPP
_	5	15	.	$.	$.
_	5	16	1608	CARD	CARD
_	5	17	.	$.	$.
VVPP	6	1	gedruckt	VVPP	NE
APPR	6	2	zu	PTKZU	APPR
_	6	3	Jena	NE	NE
_	6	4	/	$(	$(
_	6	5	durch	APPR	APPR
_	6	6	Johann	NE	NE
NE	6	7	Weidnern	NE	NN
_	6	8	.	$.	$.
_	7	1	den	ART	ART
ADJA	7	2	durchlauchtigen	NN	ADJA
_	7	3	/	$(	$(
ADJA	7	4	hochgeborenen	NN	ADJA
_	7	5	Fürsten	NN	NN
_	7	6	und	KON	KON
_	7	7	Herren	NN	NN
_	7	8	:	$.	$.
_	8	1	Herrn	NN	NN
_	8	2	Johann	NE	NE
NE	8	3	Philpen	NE	NN
_	8	4	/	$(	$(
_	8	5	Herrn	NN	NN
_	8	6	Friedrichen	NE	NE
_	8	7	/	$(	$(
_	8	8	Herrn	NN	NN
_	8	9	Johann	NE	NE
_	8	10	Wilhelmen	NE	NE
_	8	11	/	$(	$(
_	8	12	Gebrüdern	NN	NN
_	8	13	/	$(	$(
NN	8	14	Herzögen	NE	NN
APPR	8	15	zu	PTKZU	APPR
_	8	16	Sachsen	NE	NE
_	8	17	/	$(	$(
_	8	18	Landgrafen	NN	NN
_	8	19	in	APPR	APPR
_	8	20	Thüringen	NE	NE
_	8	21	/	$(	$(
_	8	22	Markgrafen	NN	NN
APPR	8	23	zu	PTKZU	APPR
_	8	24	Meißen	NE	NE
_	8	25	/	$(	$(
ADV	8	26	et cetera	ADV	FM
PPOSAT	9	1	meinen	VVFIN	PPOSAT
_	9	2	gnädigen	ADJA	ADJA
_	9	3	Fürsten	NN	NN
_	9	4	und	KON	KON
_	9	5	Herren	NN	NN
_	9	6	.	$.	$.
ADJA	10	1	durchleuchtige	NN	ADJA
_	10	2	/	$(	$(
ADJA	10	3	hochgeborene	NN	ADJA
_	10	4	Fürsten	NN	NN
_	10	5	/	$(	$(
PPOSAT	10	6	euren	NN	PPOSAT
ADJA	10	7	fürstlichen	NN	ADJA
_	10	8	Gnaden	NN	NN
_	10	9	sind	VAFIN	VAFIN
_	10	10	meine	PPOSAT	PPOSAT
_	10	11	untertänigen	ADJA	ADJA
_	10	12	Dienste	NN	NN
_	10	13	jederzeit	ADV	ADV
_	10	14	ganz	ADV	ADV
_	10	15	willig	ADJD	ADJD
_	10	16	zuvor	ADV	ADV
_	10	17	:	$.	$.
ADJA	11	1	gnädige	NN	ADJA
_	11	2	Fürsten	NN	NN
_	11	3	und	KON	KON
_	11	4	Herren	NN	NN
_	11	5	/	$(	$(
_	11	6	der	ART	ART
NN	11	7	Engel	NE	NN
_	11	8	Raphael	NE	NE
_	11	9	sagt	VVFIN	VVFIN
_	11	10	im	APPRART	APPRART
_	11	11	Buch	NN	NN
_	11	12	Tobias	NE	NE
_	11	13	am	APPRART	APPRART
_	11	14	12.	ADJA	ADJA
_	11	15	Kapitel	NN	NN
_	11	16	/	$(	$(
_	11	17	der	ART	ART
_	11	18	Könige	NN	NN
_	11	19	und	KON	KON
_	11	20	Fürsten	NN	NN
_	11	21	Rat	NN	NN
_	11	22	und	KON	KON
_	11	23	Heimlichkeit	NN	NN
_	11	24	soll	VMFIN	VMFIN
_	11	25	man	PIS	PIS
_	11	26	verschweigen	VVINF	VVINF
_	11	27	/	$(	$(
_	11	28	aber	KON	KON
_	11	29	Gottes	NN	NN
_	11	30	Werk	NN	NN
_	11	31	soll	VMFIN	VMFIN
_	11	32	man	PIS	PIS
_	11	33	herrlich	ADJD	ADJD
VVINF	11	34	preisen	VVFIN	VVINF
_	11	35	und	KON	KON
_	11	36	offenbaren	VVINF	VVINF
_	11	37	.	$.	$.
PRELS	12	1	welches	PWS	PWS
_	12	2	ob	KOUS	KOUS
_	12	3	es	PPER	PPER
_	12	4	wohl	ADV	ADV
_	12	5	in	APPR	APPR
_	12	6	gemein	ADJD	ADJD
_	12	7	von	APPR	APPR
_	12	8	allen	PIAT	PIAT
_	12	9	Werken	NN	NN
_	12	10	und	KON	KON
_	12	11	Wohltaten	NN	NN
_	12	12	Gottes	NN	NN
_	12	13	/	$(	$(
_	12	14	sie	PPER	PPER
VAFIN	12	15	seien	VAINF	VAFIN
_	12	16	allgemein	ADJD	ADJD
_	12	17	oder	KON	KON
_	12	18	sonderbar	ADJD	ADJD
_	12	19	/	$(	$(
_	12	20	in	APPR	APPR
_	12	21	allen	PIAT	PIAT
_	12	22	Ständen	NN	NN
_	12	23	geredet	VVPP	VVPP
_	12	24	wird	VAFIN	VAFIN
_	12	25	/	$(	$(
_	12	26	so	ADV	ADV
_	12	27	kann	VMFIN	VMFIN
_	12	28	es	PPER	PPER
_	12	29	doch	ADV	ADV
_	12	30	nicht	PTKNEG	PTKNEG
_	12	31	unbillig	ADJD	ADJD
_	12	32	auch	ADV	ADV
ADV	12	33	insonderheit	ADV	NN
_	12	34	auf	APPR	APPR
_	12	35	diese	PDAT	PDAT
_	12	36	Werke	NN	NN
_	12	37	und	KON	KON
_	12	38	Gaben	NN	NN
_	12	39	Gottes	NN	NN
_	12	40	gezogen	VVPP	VVPP
_	12	41	werden	VAINF	VAINF
_	12	42	/	$(	$(
PRELS	12	43	welche	PWAT	PRELS
