	token_ids	tokens	goldlabels	predictions
0	1	eine	ART	ART
0	2	wahrhaftige	NN	ADJA
0	3	Arznei	NN	NN
0	4	.	$.	$.
0	5	und	KON	KON
0	6	Schatz	VVIMP	NN
0	7	des	ART	ART
0	8	Lebens	NN	NN
0	9	.	$.	$.
1	1	wider	APPR	APPR
1	2	die	ART	ART
1	3	schwere	ADJD	ADJA
1	4	und	KON	KON
1	5	schnelle	ADJA	ADJA
1	6	Sucht	VVFIN	NN
1	7	der	ART	ART
1	8	Pestilenz	NN	NN
1	9	.	$.	$.
1	10	bewährt	VVPP	VVFIN
1	11	von	XY	APPR
1	12	vielen	ADV	PIAT
1	13	Doktoren	NE	NN
1	14	der	ART	ART
1	15	Arznei	NN	NN
1	16	.	$.	$.
2	1	die	ART	ART
2	2	Vorrede	VVFIN	NN
2	3	.	$.	$.
3	1	durch	APPR	APPR
3	2	des	ART	ART
3	3	durchlauchtigen	NN	ADJA
3	4	und	KON	KON
3	5	wohlgeborenen	ADJA	ADJA
3	6	Herrn	NN	NN
3	7	.	$.	$.
3	8	Herrn	NN	NN
3	9	von	APPR	APPR
3	10	Linigen	NN	NN
3	11	der	ART	ART
3	12	heiligen	ADJA	ADJA
3	13	Kirchen	NN	NN
3	14	zu	PTKZU	APPR
3	15	Lölen	NE	NN
3	16	Schatzbehalter	NN	NN
3	17	meines	PPOSAT	PPOSAT
3	18	gnädigen	ADJA	ADJA
3	19	und	KON	KON
3	20	großgünstigen	ADJA	ADJA
3	21	Herrn	NN	NN
3	22	sonderliche	ADJA	ADJA
3	23	Gunst	NN	NN
3	24	und	KON	KON
3	25	Liebe	VVFIN	NN
3	26	habe	VAFIN	VAFIN
3	27	ich	PPER	PPER
3	28	.	$.	$.
3	29	N.	NN	NE
3	30	aus	APPR	APPR
3	31	viel	ADV	PIS
3	32	und	KON	KON
3	33	mancher	NN	PIAT
3	34	Doktoren	NE	NN
3	35	und	KON	KON
3	36	Lehrer	NN	NN
3	37	in	APPR	APPR
3	38	der	ART	ART
3	39	Arznei	NE	NN
3	40	erfahrenen	VVINF	ADJA
3	41	Schriften	NN	NN
3	42	.	$.	$.
3	43	dies	PDS	PDAT
3	44	Büchlein	NN	NN
3	45	ausgezogen	VVPP	VVPP
3	46	und	KON	KON
3	47	zu ſamen	ADV	APPR
3	48	getragen	VVPP	VVPP
3	49	.	$.	$.
3	50	und	KON	KON
3	51	also	ADV	ADV
3	52	seiner	PPOSAT	PPOSAT
3	53	Würdigkeit	NN	NN
3	54	als	KOKOM	KOKOM
3	55	Gold	NN	NN
3	56	über	APPR	APPR
3	57	Gold	NN	NN
3	58	und	KON	KON
3	59	Edelgestein	NN	NN
3	60	geschenkt	VVPP	VVPP
3	61	gar	ADV	ADV
3	62	dienstlich	ADJD	ADJD
3	63	vermahnende	NE	ADJA
3	64	solches	NE	PIAT
3	65	festiglichen	NN	VVFIN
3	66	dem	NE	ART
3	67	Gedächtnis	NE	NN
3	68	zu	PTKZU	PTKZU
3	69	befehlen	NE	VVINF
3	70	.	$.	$.
3	71	wann	PWAV	PWAV
3	72	nicht	PTKNEG	PTKNEG
3	73	anders	ADV	ADV
3	74	in	APPR	APPR
3	75	diesem	PDAT	PDAT
3	76	Büchlein	NN	NN
3	77	beschrieben	VVFIN	VVPP
3	78	ist	VAFIN	VAFIN
3	79	dann	ADV	ADV
3	80	allein	NE	ADV
3	81	was	PWS	PIS
3	82	ich	PPER	PPER
3	83	durch	APPR	APPR
3	84	lange	NN	ADJA
3	85	Erfahrung	NN	NN
3	86	wider	APPR	APPR
3	87	diese	PDAT	PDAT
3	88	Krankheit	NE	NN
3	89	dienende	ADJA	ADJA
3	90	vor	APPR	APPR
3	91	anderen	ADJA	PIS
3	92	erkannt	VVPP	VVPP
3	93	habe	VAFIN	VAFIN
3	94	und	KON	KON
3	95	so	ADV	ADV
3	96	ihr	PPOSAT	PPER
3	97	diese	PDAT	PDAT
3	98	Lehre	VVFIN	NN
3	99	gedächtiglichen	NE	ADJA
3	100	merkt	VVFIN	VVFIN
3	101	und	KON	KON
3	102	behaltet	VVFIN	VVFIN
3	103	gnädiger	ADJA	ADJA
3	104	Herr	NN	NN
3	105	wärt	ADJD	VVFIN
3	106	ihr	PPOSAT	PPER
3	107	keines	PIAT	PIAT
3	108	anderen	ADJA	PIAT
3	109	Arztes	NE	NN
3	110	in	APPR	APPR
3	111	dieser	PDAT	PDAT
3	112	Krankheit	NE	NN
3	113	bedürfend	VVPP	ADJD
3	114	.	$.	$.
4	1	sonder	KON	KON
4	2	mit	APPR	APPR
4	3	Hilfe	VVIMP	NN
4	4	Gottes	NN	NN
4	5	des	ART	ART
4	6	Allmächtigen	ADJA	NN
4	7	euer	PPOSAT	PPOSAT
4	8	eigener	VVFIN	ADJA
4	9	Arzt	NN	NN
4	10	.	$.	$.
4	11	Bewahrer	NN	NN
4	12	.	$.	$.
4	13	Regierer	VVFIN	NN
4	14	und	KON	KON
4	15	Enthalter	NN	NN
4	16	sein	VAINF	VAINF
4	17	.	$.	$.
5	1	zum	APPRART	APPRART
5	2	Ersten	ADJA	NN
5	3	zu	PTKZU	APPR
5	4	Auflösung	NN	NN
5	5	etlicher	ADJA	PIAT
5	6	Fragen	VVIMP	NN
5	7	und	KON	KON
5	8	zweifelhaftiger	ADJA	ADJA
5	9	Bekümmernis	NN	NN
5	10	.	$.	$.
6	1	¶	$(	NN
6	2	ist	VAFIN	VAFIN
6	3	zu	PTKZU	PTKZU
6	4	merken	VVIMP	VVINF
6	5	dass	ART	KOUS
6	6	der	ART	ART
6	7	Himmel	NN	NN
6	8	.	$.	$.
7	1	die	ART	ART
7	2	Planeten	NN	NN
7	3	und	KON	KON
7	4	die	ART	ART
7	5	anderen	NN	PIAT
7	6	Gestirne	NN	NN
7	7	durch	APPR	APPR
7	8	ihren	NE	PPOSAT
7	9	Lauf	NN	NN
7	10	.	$.	$.
7	11	Schein	NN	NN
7	12	und	KON	KON
7	13	Einfluss	NN	NN
7	14	diesen	PDAT	PDAT
7	15	untersten	ADJA	ADJA
7	16	unvernünftigen	NE	ADJA
7	17	Kreaturen	NE	NN
7	18	ihre	PPOSAT	PPOSAT
7	19	Wesen	NN	NN
7	20	.	$.	$.
7	21	natur	NN	ADJA
7	22	.	$.	$.
7	23	Wachsung	NN	NN
7	24	.	$.	$.
7	25	Verderbung	NE	NN
7	26	und	KON	KON
7	27	Abnehmung	NE	NN
7	28	geben	VVFIN	VVFIN
7	29	deshalben	ADV	PAV
7	30	sie	PPER	PPER
7	31	Ursache	NE	NN
7	32	geben	VVFIN	VVFIN
7	33	dass	ART	KOUS
7	34	die	ART	ART
