SID	TID	TOKEN	POS1	POS2
1	1	eine	ART	ART
1	2	wahrhaftige	NN	ADJA
1	3	Arznei	NN	NN
1	4	.	$.	$.
1	5	und	KON	KON
1	6	Schatz	VVIMP	NN
1	7	des	ART	ART
1	8	Lebens	NN	NN
1	9	.	$.	$.
2	1	wider	APPR	APPR
2	2	die	ART	ART
2	3	schwere	ADJD	ADJA
2	4	und	KON	KON
2	5	schnelle	ADJA	ADJA
2	6	Sucht	VVFIN	NN
2	7	der	ART	ART
2	8	Pestilenz	NN	NN
2	9	.	$.	$.
2	10	bewährt	VVPP	VVFIN
2	11	von	XY	APPR
2	12	vielen	ADV	PIAT
2	13	Doktoren	NE	NN
2	14	der	ART	ART
2	15	Arznei	NN	NN
2	16	.	$.	$.
3	1	die	ART	ART
3	2	Vorrede	VVFIN	NN
3	3	.	$.	$.
4	1	durch	APPR	APPR
4	2	des	ART	ART
4	3	durchlauchtigen	NN	ADJA
4	4	und	KON	KON
4	5	wohlgeborenen	ADJA	ADJA
4	6	Herrn	NN	NN
4	7	.	$.	$.
4	8	Herrn	NN	NN
4	9	von	APPR	APPR
4	10	Linigen	NN	NN
4	11	der	ART	ART
4	12	heiligen	ADJA	ADJA
4	13	Kirchen	NN	NN
4	14	zu	PTKZU	APPR
4	15	Lölen	NE	NE
4	16	Schatzbehalter	NN	NN
4	17	meines	PPOSAT	PPOSAT
4	18	gnädigen	ADJA	ADJA
4	19	und	KON	KON
4	20	großgünstigen	ADJA	ADJA
4	21	Herrn	NN	NN
4	22	sonderliche	ADJA	ADJA
4	23	Gunst	NN	NN
4	24	und	KON	KON
4	25	Liebe	VVFIN	NN
4	26	habe	VAFIN	VAFIN
4	27	ich	PPER	PPER
4	28	.	$.	$.
4	29	N.	NN	NE
4	30	aus	APPR	APPR
4	31	viel	ADV	PIAT
4	32	und	KON	KON
4	33	mancher	NN	PIAT
4	34	Doktoren	NE	NN
4	35	und	KON	KON
4	36	Lehrer	NN	NN
4	37	in	APPR	APPR
4	38	der	ART	ART
4	39	Arznei	NE	NN
4	40	erfahrenen	VVINF	ADJA
4	41	Schriften	NN	NN
4	42	.	$.	$.
4	43	dies	PDS	PDAT
4	44	Büchlein	NN	NN
4	45	ausgezogen	VVPP	VVPP
4	46	und	KON	KON
4	47	zu ſamen	ADV	APPR
4	48	getragen	VVPP	VVPP
4	49	.	$.	$.
4	50	und	KON	KON
4	51	also	ADV	ADV
4	52	seiner	PPOSAT	PPOSAT
4	53	Würdigkeit	NN	NN
4	54	als	KOKOM	KOKOM
4	55	Gold	NN	NN
4	56	über	APPR	APPR
4	57	Gold	NN	NN
4	58	und	KON	KON
4	59	Edelgestein	NN	NN
4	60	geschenkt	VVPP	VVPP
4	61	gar	ADV	ADV
4	62	dienstlich	ADJD	ADJD
4	63	vermahnende	NE	ADJA
4	64	solches	NE	PIAT
4	65	festiglichen	NN	VVFIN
4	66	dem	NE	ART
4	67	Gedächtnis	NE	NN
4	68	zu	PTKZU	PTKZU
4	69	befehlen	NE	VVINF
4	70	.	$.	$.
4	71	wann	PWAV	PWAV
4	72	nicht	PTKNEG	PTKNEG
4	73	anders	ADV	ADV
4	74	in	APPR	APPR
4	75	diesem	PDAT	PDAT
4	76	Büchlein	NN	NN
4	77	beschrieben	VVFIN	VVPP
4	78	ist	VAFIN	VAFIN
4	79	dann	ADV	ADV
4	80	allein	NE	ADV
4	81	was	PWS	PIS
4	82	ich	PPER	PPER
4	83	durch	APPR	APPR
4	84	lange	NN	ADJA
4	85	Erfahrung	NN	NN
4	86	wider	APPR	APPR
4	87	diese	PDAT	PDAT
4	88	Krankheit	NE	NN
4	89	dienende	ADJA	ADJA
4	90	vor	APPR	APPR
4	91	anderen	ADJA	PIS
4	92	erkannt	VVPP	VVPP
4	93	habe	VAFIN	VAFIN
4	94	und	KON	KON
4	95	so	ADV	ADV
4	96	ihr	PPOSAT	PPER
4	97	diese	PDAT	PDAT
4	98	Lehre	VVFIN	NN
4	99	gedächtiglichen	NE	ADJA
4	100	merkt	VVFIN	VVFIN
4	101	und	KON	KON
4	102	behaltet	VVFIN	VVFIN
4	103	gnädiger	ADJA	ADJA
4	104	Herr	NN	NN
4	105	wärt	ADJD	VAFIN
4	106	ihr	PPOSAT	PPER
4	107	keines	PIAT	PIAT
4	108	anderen	ADJA	PIS
4	109	Arztes	NE	NN
4	110	in	APPR	APPR
4	111	dieser	PDAT	PDAT
4	112	Krankheit	NE	NN
4	113	bedürfend	VVPP	ADJD
4	114	.	$.	$.
5	1	sonder	KON	VVIMP
5	2	mit	APPR	APPR
5	3	Hilfe	VVIMP	NN
5	4	Gottes	NN	NN
5	5	des	ART	ART
5	6	Allmächtigen	ADJA	NN
5	7	euer	PPOSAT	PPOSAT
5	8	eigener	VVFIN	ADJA
5	9	Arzt	NN	NN
5	10	.	$.	$.
5	11	Bewahrer	NN	NN
5	12	.	$.	$.
5	13	Regierer	VVFIN	NN
5	14	und	KON	KON
5	15	Enthalter	NN	NN
5	16	sein	VAINF	VAINF
5	17	.	$.	$.
6	1	zum	APPRART	APPRART
6	2	Ersten	ADJA	NN
6	3	zu	PTKZU	APPR
6	4	Auflösung	NN	NN
6	5	etlicher	ADJA	PIAT
6	6	Fragen	VVIMP	NN
6	7	und	KON	KON
6	8	zweifelhaftiger	ADJA	ADJA
6	9	Bekümmernis	NN	NN
6	10	.	$.	$.
7	1	¶	$(	NN
7	2	ist	VAFIN	VAFIN
7	3	zu	PTKZU	PTKZU
7	4	merken	VVIMP	VVINF
7	5	dass	ART	KOUS
7	6	der	ART	ART
7	7	Himmel	NN	NN
7	8	.	$.	$.
8	1	die	ART	ART
8	2	Planeten	NN	NN
8	3	und	KON	KON
8	4	die	ART	ART
8	5	anderen	NN	PIAT
8	6	Gestirne	NN	NN
8	7	durch	APPR	APPR
8	8	ihren	NE	PPOSAT
8	9	Lauf	NN	NN
8	10	.	$.	$.
8	11	Schein	NN	NN
8	12	und	KON	KON
8	13	Einfluss	NN	NN
8	14	diesen	PDAT	PDAT
8	15	untersten	ADJA	ADJA
8	16	unvernünftigen	NE	ADJA
8	17	Kreaturen	NE	NN
8	18	ihre	PPOSAT	PPOSAT
8	19	Wesen	NN	NN
8	20	.	$.	$.
8	21	natur	NN	ADJA
8	22	.	$.	$.
8	23	Wachsung	NN	NN
8	24	.	$.	$.
8	25	Verderbung	NE	NN
8	26	und	KON	KON
8	27	Abnehmung	NE	NN
8	28	geben	VVFIN	VVFIN
8	29	deshalben	ADV	PAV
8	30	sie	PPER	PPER
8	31	Ursache	NE	NN
8	32	geben	VVFIN	VVFIN
8	33	dass	ART	KOUS
8	34	die	ART	ART
8	35	Luft	NN	NN
8	36	verstört	NE	VVPP
8	37	wird	VAFIN	VAFIN
8	38	und	KON	KON
8	39	vergiftet	NE	VVPP
8	40	.	$.	$.
9	1	daraus	PAV	PAV
9	2	Pestilenz	NN	NN
9	3	folgt	VVFIN	VVFIN
9	4	natürlichen	ADJA	ADJA
9	5	.	$.	$.
10	1	sintemal	KOUS	ADV
10	2	durch	APPR	APPR
10	3	den	NE	ART
10	4	Einfluss	NN	NN
10	5	des	ART	ART
10	6	Himmels	NN	NN
10	7	gestreckt	VVPP	VVPP
10	8	und	KON	KON
10	9	gerichtet	NN	VVPP
10	10	er	PPER	PPER
10	11	ein	ART	ART
10	12	Mensch	NN	NN
10	13	anblickt	VVFIN	VVFIN
10	14	und	KON	KON
10	15	gerührt	NE	VVPP
10	16	wird	VAFIN	VAFIN
10	17	dann	ADV	ADV
10	18	das	KOUS	ART
10	19	andere	ADJD	PIS
10	20	.	$.	$.
