SID	TID	TOKEN	POS1	POS2
1	1	kurzer	ADJA	ADJA
1	2	Bericht	NN	NN
1	3	/	$(	$(
1	4	wie	PWAV	KOUS
1	5	sich	PRF	PRF
1	6	Hauß= Vaͤter	NN	NN
1	7	und	KON	KON
1	8	Mütter	NN	NN
1	9	/	$(	$(
1	10	auch	ADV	ADV
1	11	jedermänniglich	ADJD	ADJD
1	12	in	APPR	APPR
1	13	dieser	PDAT	PDAT
1	14	gefährlichen	ADJA	ADJA
1	15	Pest = Zeit	NN	NN
1	18	verhalten	VVINF	VVINF
1	19	und	KON	KON
1	20	mit	APPR	APPR
1	21	Arzneien	NN	NN
1	22	versorgen	VVINF	VVINF
1	23	soll	VMFIN	VMFIN
1	24	.	$.	$.
2	1	dem	ART	ART
2	2	lieben	VVFIN	ADJA
2	3	Armut	NN	NN
2	4	zu	PTKZU	APPR
2	5	gute	ADJA	ADJA
2	6	/	$(	$(
2	7	aus	APPR	APPR
2	8	treuen	ADJA	ADJA
2	9	und	KON	KON
2	10	wohlmeinenden	ADJA	ADJA
2	11	Gemüt	NN	NN
2	12	vorgestellt	VVPP	VVPP
2	13	durch	APPR	APPR
2	14	Martinum	NE	NN
2	15	Heer	NE	NN
2	16	/	$(	$(
2	17	Medikus	NN	NN
3	1	Doktor	NE	NN
3	3	und	KON	KON
3	4	Stadtphysikus[6]	NN	NN
3	5	zu	PTKZU	APPR
3	6	Görlitz	NE	NE
3	7	.	$.	$.
3	8	nebst	APPR	APPR
3	9	einem	ART	ART
3	10	Anhang	VVFIN	NN
3	11	vieler	PIAT	PIAT
3	12	nützlichen	ADJA	ADJA
3	13	und	KON	KON
3	14	in	APPR	APPR
3	15	diesen	PDAT	PDAT
3	16	Fällen	NN	NN
3	17	bewährten	ADJA	ADJA
3	18	Pestmittel	NN	NN
3	19	/	$(	$(
3	20	wie	PWAV	KOKOM
3	21	auch	ADV	ADV
3	22	drei	CARD	CARD
3	23	ihrer	PPOSAT	PPOSAT
3	24	sonderbaren	ADJA	ADJA
3	25	tugendhalben	NN	ADJA
3	26	unschätzbare	ADJA	ADJA
3	27	Remedia	NN	NE
3	28	wider	ADV	APPR
3	29	die	ART	ART
3	30	Pestilenz	NN	NN
3	31	höchstheilsamlich	NN	ADJD
3	32	zu	PTKZU	PTKZU
3	33	gebrauchen	VVINF	VVINF
3	34	Görlitz	NE	NE
3	35	im	APPRART	APPRART
3	36	Jahr	NN	NN
3	37	Christi	NE	NE
3	38	1680	CARD	CARD
3	39	.	$.	$.
4	1	bei	APPR	APPR
4	2	dieser	PDAT	PDAT
4	3	,	$,	$,
4	4	betrübten	VVFIN	ADJA
4	5	und	KON	KON
4	6	gefährlichen	ADJA	ADJA
4	7	Pestzeit	NN	NN
4	8	dem	ART	ART
4	9	lieben	VVFIN	ADJA
4	10	Armut	NN	NN
4	11	zugute	PTKZU	PTKVZ
4	12	/	$(	$(
4	13	schreibe	VVFIN	VVFIN
4	14	ich	PPER	PPER
4	15	diese	PDAT	PDAT
4	16	Hausarzneien	NN	NN
4	17	/	$(	$(
4	18	mit	APPR	APPR
4	19	welchen	PWAT	PIS
4	20	sich	PRF	PRF
4	21	ein	ART	ART
4	22	jeder	PIAT	PIAT
4	23	Unvermögender	NN	NN
4	24	und	KON	KON
4	25	armer	ADJA	ADJA
4	26	Hausvater	NN	NN
4	27	/	$(	$(
4	28	oder	KON	KON
4	29	andere	ADJA	PIS
4	30	Person	NN	NN
4	31	wenigen	PIAT	PIAT
4	32	Mitteln	NN	NN
4	33	in	APPR	APPR
4	34	oder	KON	KON
4	35	außer	APPR	APPR
4	36	der	ART	ART
4	37	Stadt	NN	NN
4	39	versehe	VVFIN	VVFIN
4	40	;	$.	$.
4	41	und	KON	KON
4	42	dies	PDS	PDS
4	43	zu	PTKZU	PTKZU
4	44	thun	VVINF	VVINF
