1	kurzer	ADJA
2	Bericht	NN
3	/	$(
4	wie	PWAV
5	sich	PRF
6	Hauß= Vaͤter	NN
7	und	KON
8	Mütter	NN
9	/	$(
10	auch	ADV
11	jedermänniglich	ADJD
12	in	APPR
13	dieser	PDAT
14	gefährlichen	ADJA
15	Pest = Zeit	NN
18	verhalten	VVINF
19	und	KON
20	mit	APPR
21	Arzneien	NN
22	versorgen	VVINF
23	soll	VMFIN
24	.	$.
1	dem	ART
2	lieben	VVFIN
3	Armut	NN
4	zu	PTKZU
5	gute	ADJA
6	/	$(
7	aus	APPR
8	treuen	ADJA
9	und	KON
10	wohlmeinenden	ADJA
11	Gemüt	NN
12	vorgestellt	VVPP
13	durch	APPR
14	Martinum	NE
15	Heer	NE
16	/	$(
17	Medikus	NN
1	Doktor	NE
3	und	KON
4	Stadtphysikus[6]	NN
5	zu	PTKZU
6	Görlitz	NE
7	.	$.
8	nebst	APPR
9	einem	ART
10	Anhang	VVFIN
11	vieler	PIAT
12	nützlichen	ADJA
13	und	KON
14	in	APPR
15	diesen	PDAT
16	Fällen	NN
17	bewährten	ADJA
18	Pestmittel	NN
19	/	$(
20	wie	PWAV
21	auch	ADV
22	drei	CARD
23	ihrer	PPOSAT
24	sonderbaren	ADJA
25	tugendhalben	NN
26	unschätzbare	ADJA
27	Remedia	NN
28	wider	ADV
29	die	ART
30	Pestilenz	NN
31	höchstheilsamlich	NN
32	zu	PTKZU
33	gebrauchen	VVINF
34	Görlitz	NE
35	im	APPRART
36	Jahr	NN
37	Christi	NE
38	1680	CARD
39	.	$.
1	bei	APPR
2	dieser	PDAT
3	,	$,
4	betrübten	VVFIN
5	und	KON
6	gefährlichen	ADJA
7	Pestzeit	NN
8	dem	ART
9	lieben	VVFIN
10	Armut	NN
11	zugute	PTKZU
12	/	$(
13	schreibe	VVFIN
14	ich	PPER
15	diese	PDAT
16	Hausarzneien	NN
17	/	$(
18	mit	APPR
19	welchen	PWAT
20	sich	PRF
21	ein	ART
22	jeder	PIAT
23	Unvermögender	NN
24	und	KON
25	armer	ADJA
26	Hausvater	NN
27	/	$(
28	oder	KON
29	andere	ADJA
30	Person	NN
31	wenigen	PIAT
32	Mitteln	NN
33	in	APPR
34	oder	KON
35	außer	APPR
36	der	ART
37	Stadt	NN
39	versehe	VVFIN
40	;	$;
41	und	KON
42	dies	PDS
43	zu	PTKZU
44	thun	VVINF
45	/	$(
46	auch	ADV
47	dem	ART
48	Gewissen	NN
49	nach	APPR
50	/	$(
51	wird	VAFIN
52	ein	ART
53	jeder	PIAT
54	schuldig	ADJD
55	und	KON
56	verbunden	VVPP
57	seyn	VVINF
58	;	$;
59	welche	PWAT
60	Arzneien	NN
61	auch	ADV
62	jedermann	PIS
63	mehrenteils	ADV
64	in	APPR
65	seinem	PPOSAT
66	Gärtlein	NN
67	hat	VAFIN
68	/	$(
69	oder	KON
70	haben	VAFIN
71	kann	VMFIN
72	/	$(
73	oder	KON
74	da	ADV
75	sonst	ADV
76	leicht	ADJD
77	ohne	APPR
78	sonderliche	ADJA
79	Unkosten	NN
80	zuweg e 	ADV
81	bringen	VVINF
82	wird	VAFIN
83	/	$(
84	auf	APPR
85	dass	KOUS
86	doch	ADV
87	einiger	PIAT
88	massen	NN
89	anderer	ADJA
90	unordentlicher	ADJA
91	selbst	PDS
92	zu	PTKZU
93	Unrecht	NN
94	erdichteter	ADJA
95	Gebrauch	NN
96	verhindert	VVPP
97	werden	VAINF
98	möge	VMFIN
99	.	$.
1	wer	PWS
2	demnach	PAV
3	auch	ADV
4	sei	VAFIN
5	/	$(
6	der	ART
7	unvermögend	ADJD
8	/	$(
9	und	KON
10	in	APPR
11	Pestnot	NN
12	gerät	VVFIN
13	/	$(
14	nächst	APPR
15	andächtigem	ADJA
16	Gebet	NN
17	zu	PTKZU
18	GOtt	NN
19	/	$(
20	dass	KOUS
21	er	PPER
22	wolle	VMFIN
23	schonen	VVINF
24	/	$(
25	und	KON
26	nicht	PTKNEG
27	nach	APPR
28	Verdienst	NN
29	ablohnen	VVINF
30	/	$(
31	bereite	VVFIN
32	dieses	PDAT
33	/	$(
34	oder	KON
35	lasse	VVFIN
36	es	PPER
37	bereiten	VVFIN
38	/	$(
39	nämlich	ADV
40	:	$.
41	(	$(
42	1.	ADJA
43	)	$(
1	nimm	NE
2	Alantwurzel	NN
3	/	$(
4	Großklettenwurzel	NE
5	/	$(
6	Liebstöckelwurzel	NE
7	/	$(
8	Schöllkrautwurzel	NE
9	/	$(
10	Pestilenzwurzel	NE
11	/	$(
12	(	$(
13	oder	KON
14	Neunkraftwurzel	NN
15	)	$(
16	Angelikawurzel	NE
17	/	$(
18	Wacholderbeeren	NN
19	/	$(
20	jedes	PIAT
21	1.	ADJA
22	Lot	NN
23	/	$(
24	diese	PDAT
25	alle	PIAT
26	/	$(
27	oder	KON
28	doch	ADV
29	die	ART
30	meisten	PIAT
31	/	$(
32	welche	PWAT
33	du	PPER
34	haben	VAFIN
35	kannst	VMFIN
36	/	$(
37	schneide	VVFIN
38	klein	ADJD
39	/	$(
40	gieße	NN
41	guten	ADJA
42	starken	ADJA
43	Weinessig	NN
44	darauf	PAV
45	/	$(
46	in	APPR
47	einem	ART
48	irdenen	ADJA
49	/	$(
50	oder	KON
51	gläsernen	ADJA
52	Gefäß	NN
53	oder	KON
54	Flaschen	NN
55	/	$(
56	3.	ADJA
57	oder	KON
58	4.	ADJA
59	zwerch	ADV
60	Finger	NN
61	hoch	ADJD
62	/	$(
63	vermache	VVIMP
64	das	ART
65	Gefäß	NN
66	oben	ADV
67	wohl	ADV
68	/	$(
69	und	KON
70	stelle	VVFIN
71	es	PPER
72	auf	APPR
73	den	ART
74	Ofen	NN
75	/	$(
76	nicht	PTKNEG
77	zu	PTKZU
78	warm	ADJD
79	/	$(
80	auch	ADV
81	nicht	PTKNEG
82	zu	PTKZU
