	token_ids	tokens	goldlabels	predictions
0	1	kurzer	ADJA	ADJA
0	2	/	$(	$(
0	3	doch	ADV	ADV
0	4	gründlicher	ADJD	ADJA
0	5	Bericht	NN	NN
0	6	/	$(	$(
0	7	von	APPR	APPR
0	8	Natur	NN	NN
0	9	/	$(	$(
0	10	Eigenschaft	NN	NN
0	11	/	$(	$(
0	12	Kraft	NN	NN
0	13	/	$(	$(
0	14	Wirkung	NN	NN
0	15	/	$(	$(
0	16	und	KON	KON
0	17	rechtmäßigem	ADJA	ADJA
0	18	Gebrauch	NN	NN
0	19	des	ART	ART
0	20	neu	ADJD	ADJD
0	21	erfundenen	ADJA	ADJA
0	22	Brunnens	NN	NN
0	23	/	$(	$(
0	24	zun	APPRART	APPRART
0	25	dreien	CARD	CARD
0	26	Tannen	NN	NN
0	27	in	APPR	APPR
0	28	Meißen	NE	NE
0	29	bei	APPR	APPR
0	30	der	ART	ART
0	31	Zwönitz	NN	NN
0	32	gelegen	VVPP	VVPP
0	33	.	$.	$.
1	1	gestellt	VVPP	VVPP
1	2	durch	APPR	APPR
1	3	Medikus	NE	NN
2	1	Joannem	FM	ADJA
2	2	Philippum	FM	NN
2	3	Brendelium	FM	NN
2	4	,	$,	$,
2	5	Medicum	FM	NN
2	6	jetzo	FM	ADJD
2	7	zur	FM	APPRART
2	8	Neustadt	FM	NN
2	9	an	FM	APPR
2	10	der	FM	ART
2	11	Orla	FM	NN
2	12	.	$.	$.
3	1	samt	APPR	APPR
3	2	angehängtem	ADJA	ADJA
3	3	Extract	NN	NN
3	4	/	$(	$(
3	5	verdeutschter	NN	ADJA
3	6	historischer	NN	ADJA
3	7	Beschreibung	NN	NN
3	8	desselben	PDS	PDAT
3	9	Brunnens	NN	NN
3	10	/	$(	$(
3	11	unlängst	ADJD	ADV
3	12	von	APPR	APPR
3	13	Medikus	NE	NN
4	1	Martino	NE	NE
4	2	Pfuntelio	NE	NE
4	3	,	$,	$,
4	4	Rectore	NN	NN
4	5	zu	PTKZU	APPR
4	6	Plauen	NN	NE
4	7	in	FM	APPR
4	8	Latein	NN	NN
4	9	geschrieben	VVPP	VVPP
4	10	/	$(	$(
4	11	und	KON	KON
4	12	in	APPR	APPR
4	13	Druck	NN	NN
4	14	verfertigt	VVFIN	VVFIN
4	15	.	$.	$.
4	16	1608	CARD	CARD
4	17	.	$.	$.
5	1	gedruckt	VVPP	VVPP
5	2	zu	PTKZU	APPR
5	3	Jena	NE	NE
5	4	/	$(	$(
5	5	durch	APPR	APPR
5	6	Johann	NE	NE
5	7	Weidnern	NE	NN
5	8	.	$.	$.
6	1	den	ART	ART
6	2	durchlauchtigen	NN	ADJA
6	3	/	$(	$(
6	4	hochgeborenen	NN	ADJA
6	5	Fürsten	NN	NN
6	6	und	KON	KON
6	7	Herren	NN	NN
6	8	:	$.	$.
7	1	Herrn	NN	NN
7	2	Johann	NE	NE
7	3	Philpen	NE	NN
7	4	/	$(	$(
7	5	Herrn	NN	NN
7	6	Friedrichen	NE	NE
7	7	/	$(	$(
7	8	Herrn	NN	NN
7	9	Johann	NE	NE
7	10	Wilhelmen	NE	NE
7	11	/	$(	$(
7	12	Gebrüdern	NN	NN
7	13	/	$(	$(
7	14	Herzögen	NE	NN
7	15	zu	PTKZU	APPR
7	16	Sachsen	NE	NE
7	17	/	$(	$(
7	18	Landgrafen	NN	NN
7	19	in	APPR	APPR
7	20	Thüringen	NE	NE
7	21	/	$(	$(
7	22	Markgrafen	NN	NN
7	23	zu	PTKZU	APPR
7	24	Meißen	NE	NE
7	25	/	$(	$(
7	26	et cetera	ADV	FM
8	1	meinen	VVFIN	PPOSAT
8	2	gnädigen	ADJA	ADJA
8	3	Fürsten	NN	NN
8	4	und	KON	KON
8	5	Herren	NN	NN
8	6	.	$.	$.
9	1	durchleuchtige	NN	ADJA
9	2	/	$(	$(
9	3	hochgeborene	NN	ADJA
9	4	Fürsten	NN	NN
9	5	/	$(	$(
9	6	euren	NN	PPOSAT
9	7	fürstlichen	NN	ADJA
9	8	Gnaden	NN	NN
9	9	sind	VAFIN	VAFIN
9	10	meine	PPOSAT	PPOSAT
9	11	untertänigen	ADJA	ADJA
9	12	Dienste	NN	NN
9	13	jederzeit	ADV	ADV
9	14	ganz	ADV	ADV
9	15	willig	ADJD	ADJD
9	16	zuvor	ADV	ADV
9	17	:	$.	$.
10	1	gnädige	NN	ADJA
10	2	Fürsten	NN	NN
10	3	und	KON	KON
10	4	Herren	NN	NN
10	5	/	$(	$(
10	6	der	ART	ART
10	7	Engel	NE	NE
10	8	Raphael	NE	NE
10	9	sagt	VVFIN	VVFIN
10	10	im	APPRART	APPRART
10	11	Buch	NN	NN
10	12	Tobias	NE	NE
10	13	am	APPRART	APPRART
10	14	12.	ADJA	ADJA
10	15	Kapitel	NN	NN
10	16	/	$(	$(
10	17	der	ART	ART
10	18	Könige	NN	NN
10	19	und	KON	KON
10	20	Fürsten	NN	NN
10	21	Rat	NN	NN
10	22	und	KON	KON
10	23	Heimlichkeit	NN	NN
10	24	soll	VMFIN	VMFIN
10	25	man	PIS	PIS
10	26	verschweigen	VVINF	VVINF
10	27	/	$(	$(
10	28	aber	KON	KON
10	29	Gottes	NN	NN
10	30	Werk	NN	NN
10	31	soll	VMFIN	VMFIN
10	32	man	PIS	PIS
10	33	herrlich	ADJD	ADJD
10	34	preisen	VVFIN	VVINF
10	35	und	KON	KON
10	36	offenbaren	VVINF	VVINF
10	37	.	$.	$.
11	1	welches	PWS	PWS
11	2	ob	KOUS	KOUS
11	3	es	PPER	PPER
11	4	wohl	ADV	ADV
11	5	in	APPR	APPR
11	6	gemein	ADJD	ADJD
11	7	von	APPR	APPR
11	8	allen	PIAT	PIAT
11	9	Werken	NN	NN
11	10	und	KON	KON
11	11	Wohltaten	NN	NN
11	12	Gottes	NN	NN
11	13	/	$(	$(
11	14	sie	PPER	PPER
11	15	seien	VAINF	VAFIN
11	16	allgemein	ADJD	ADJD
11	17	oder	KON	KON
11	18	sonderbar	ADJD	ADJD
11	19	/	$(	$(
