GOLDPOS	SID	TID	TOKEN	POS1	POS2
_	1	1	eine	ART	ART
ADJA	1	2	wahrhaftige	NN	ADJA
_	1	3	Arznei	NN	NN
_	1	4	.	$.	$.
_	1	5	und	KON	KON
NN	1	6	Schatz	VVIMP	NN
_	1	7	des	ART	ART
_	1	8	Lebens	NN	NN
_	1	9	.	$.	$.
_	2	1	wider	APPR	APPR
_	2	2	die	ART	ART
ADJA	2	3	schwere	ADJD	ADJA
_	2	4	und	KON	KON
_	2	5	schnelle	ADJA	ADJA
NN	2	6	Sucht	VVFIN	NN
_	2	7	der	ART	ART
_	2	8	Pestilenz	NN	NN
_	2	9	.	$.	$.
VVPP	2	10	bewährt	VVPP	VVFIN
APPR	2	11	von	XY	APPR
PIAT	2	12	vielen	ADV	PIAT
NN	2	13	Doktoren	NE	NN
_	2	14	der	ART	ART
_	2	15	Arznei	NN	NN
_	2	16	.	$.	$.
_	3	1	die	ART	ART
NN	3	2	Vorrede	VVFIN	NN
_	3	3	.	$.	$.
_	4	1	durch	APPR	APPR
_	4	2	des	ART	ART
ADJA	4	3	durchlauchtigen	NN	ADJA
_	4	4	und	KON	KON
ADJA	4	5	wohlgeborenen	ADJA	ADJA
_	4	6	Herrn	NN	NN
_	4	7	.	$.	$.
_	4	8	Herrn	NN	NN
_	4	9	von	APPR	APPR
NE	4	10	Linigen	NN	NN
_	4	11	der	ART	ART
_	4	12	heiligen	ADJA	ADJA
_	4	13	Kirchen	NN	NN
APPR	4	14	zu	PTKZU	APPR
_	4	15	Lölen	NE	NE
_	4	16	Schatzbehalter	NN	NN
_	4	17	meines	PPOSAT	PPOSAT
_	4	18	gnädigen	ADJA	ADJA
_	4	19	und	KON	KON
_	4	20	großgünstigen	ADJA	ADJA
_	4	21	Herrn	NN	NN
_	4	22	sonderliche	ADJA	ADJA
_	4	23	Gunst	NN	NN
_	4	24	und	KON	KON
NN	4	25	Liebe	VVFIN	NN
_	4	26	habe	VAFIN	VAFIN
_	4	27	ich	PPER	PPER
_	4	28	.	$.	$.
NE	4	29	N.	NN	NE
_	4	30	aus	APPR	APPR
PIAT	4	31	viel	ADV	PIAT
_	4	32	und	KON	KON
PIAT	4	33	mancher	NN	PIAT
NN	4	34	Doktoren	NE	NN
_	4	35	und	KON	KON
_	4	36	Lehrer	NN	NN
_	4	37	in	APPR	APPR
_	4	38	der	ART	ART
NN	4	39	Arznei	NE	NN
ADJA	4	40	erfahrenen	VVINF	ADJA
_	4	41	Schriften	NN	NN
_	4	42	.	$.	$.
PDAT	4	43	dies	PDS	PDAT
_	4	44	Büchlein	NN	NN
_	4	45	ausgezogen	VVPP	VVPP
_	4	46	und	KON	KON
ADV	4	47	zu ſamen	ADV	APPR
VVPP	4	48	getragen	VVPP	VVPP
_	4	49	.	$.	$.
_	4	50	und	KON	KON
_	4	51	also	ADV	ADV
_	4	52	seiner	PPOSAT	PPOSAT
_	4	53	Würdigkeit	NN	NN
_	4	54	als	KOKOM	KOKOM
_	4	55	Gold	NN	NN
_	4	56	über	APPR	APPR
_	4	57	Gold	NN	NN
_	4	58	und	KON	KON
_	4	59	Edelgestein	NN	NN
_	4	60	geschenkt	VVPP	VVPP
PTKA	4	61	gar	ADV	ADV
_	4	62	dienstlich	ADJD	ADJD
ADJD	4	63	vermahnende	NE	ADJA
PIS	4	64	solches	NE	PIAT
ADV	4	65	festiglichen	NN	VVFIN
ART	4	66	dem	NE	ART
NN	4	67	Gedächtnis	NE	NN
_	4	68	zu	PTKZU	PTKZU
VVINF	4	69	befehlen	NE	VVINF
_	4	70	.	$.	$.
KOUS	4	71	wann	PWAV	PWAV
_	4	72	nicht	PTKNEG	PTKNEG
_	4	73	anders	ADV	ADV
