SID	TID	TOKEN	POS1	POS2
1	1	kurzer	ADJA	ADJA
1	2	/	$(	$(
1	3	doch	ADV	ADV
1	4	gründlicher	ADJD	ADJA
1	5	Bericht	NN	NN
1	6	/	$(	$(
1	7	von	APPR	APPR
1	8	Natur	NN	NN
1	9	/	$(	$(
1	10	Eigenschaft	NN	NN
1	11	/	$(	$(
1	12	Kraft	NN	NN
1	13	/	$(	$(
1	14	Wirkung	NN	NN
1	15	/	$(	$(
1	16	und	KON	KON
1	17	rechtmäßigem	ADJA	ADJA
1	18	Gebrauch	NN	NN
1	19	des	ART	ART
1	20	neu	ADJD	ADJD
1	21	erfundenen	ADJA	ADJA
1	22	Brunnens	NN	NN
1	23	/	$(	$(
1	24	zun	APPRART	APPRART
1	25	dreien	CARD	CARD
1	26	Tannen	NN	NN
1	27	in	APPR	APPR
1	28	Meißen	NE	NE
1	29	bei	APPR	APPR
1	30	der	ART	ART
1	31	Zwönitz	NN	NN
1	32	gelegen	VVPP	VVPP
1	33	.	$.	$.
2	1	gestellt	VVPP	VVPP
2	2	durch	APPR	APPR
2	3	Medikus	NE	NN
3	1	Joannem	FM	NE
3	2	Philippum	FM	NN
3	3	Brendelium	FM	NN
3	4	,	$,	$,
3	5	Medicum	FM	NN
3	6	jetzo	FM	ADV
3	7	zur	FM	APPRART
3	8	Neustadt	FM	NN
3	9	an	FM	APPR
3	10	der	FM	ART
3	11	Orla	FM	NE
3	12	.	$.	$.
4	1	samt	APPR	APPR
4	2	angehängtem	ADJA	ADJA
4	3	Extract	NN	NN
4	4	/	$(	$(
4	5	verdeutschter	NN	ADJA
4	6	historischer	NN	ADJA
4	7	Beschreibung	NN	NN
4	8	desselben	PDS	PDAT
4	9	Brunnens	NN	NN
4	10	/	$(	$(
4	11	unlängst	ADJD	ADV
4	12	von	APPR	APPR
4	13	Medikus	NE	NN
5	1	Martino	NE	NE
5	2	Pfuntelio	NE	NE
5	3	,	$,	$,
5	4	Rectore	NN	NN
5	5	zu	PTKZU	APPR
5	6	Plauen	NN	NE
5	7	in	FM	APPR
5	8	Latein	NN	NN
5	9	geschrieben	VVPP	VVPP
5	10	/	$(	$(
5	11	und	KON	KON
5	12	in	APPR	APPR
5	13	Druck	NN	NN
5	14	verfertigt	VVFIN	VVPP
5	15	.	$.	$.
5	16	1608	CARD	CARD
5	17	.	$.	$.
6	1	gedruckt	VVPP	NE
6	2	zu	PTKZU	APPR
6	3	Jena	NE	NE
6	4	/	$(	$(
6	5	durch	APPR	APPR
6	6	Johann	NE	NE
6	7	Weidnern	NE	NN
6	8	.	$.	$.
7	1	den	ART	ART
7	2	durchlauchtigen	NN	ADJA
7	3	/	$(	$(
7	4	hochgeborenen	NN	ADJA
7	5	Fürsten	NN	NN
7	6	und	KON	KON
7	7	Herren	NN	NN
7	8	:	$.	$.
8	1	Herrn	NN	NN
8	2	Johann	NE	NE
8	3	Philpen	NE	NN
8	4	/	$(	$(
8	5	Herrn	NN	NN
8	6	Friedrichen	NE	NE
8	7	/	$(	$(
8	8	Herrn	NN	NN
8	9	Johann	NE	NE
8	10	Wilhelmen	NE	NE
8	11	/	$(	$(
8	12	Gebrüdern	NN	NN
8	13	/	$(	$(
8	14	Herzögen	NE	NN
8	15	zu	PTKZU	APPR
8	16	Sachsen	NE	NE
8	17	/	$(	$(
8	18	Landgrafen	NN	NN
8	19	in	APPR	APPR
8	20	Thüringen	NE	NE
8	21	/	$(	$(
8	22	Markgrafen	NN	NN
8	23	zu	PTKZU	APPR
8	24	Meißen	NE	NE
8	25	/	$(	$(
8	26	et cetera	ADV	FM
9	1	meinen	VVFIN	PPOSAT
9	2	gnädigen	ADJA	ADJA
9	3	Fürsten	NN	NN
9	4	und	KON	KON
9	5	Herren	NN	NN
9	6	.	$.	$.
10	1	durchleuchtige	NN	ADJA
10	2	/	$(	$(
10	3	hochgeborene	NN	ADJA
10	4	Fürsten	NN	NN
10	5	/	$(	$(
10	6	euren	NN	PPOSAT
10	7	fürstlichen	NN	ADJA
10	8	Gnaden	NN	NN
10	9	sind	VAFIN	VAFIN
10	10	meine	PPOSAT	PPOSAT
10	11	untertänigen	ADJA	ADJA
10	12	Dienste	NN	NN
10	13	jederzeit	ADV	ADV
10	14	ganz	ADV	ADV
10	15	willig	ADJD	ADJD
10	16	zuvor	ADV	ADV
10	17	:	$.	$.
11	1	gnädige	NN	ADJA
11	2	Fürsten	NN	NN
11	3	und	KON	KON
11	4	Herren	NN	NN
11	5	/	$(	$(
11	6	der	ART	ART
11	7	Engel	NE	NN
11	8	Raphael	NE	NE
11	9	sagt	VVFIN	VVFIN
11	10	im	APPRART	APPRART
11	11	Buch	NN	NN
11	12	Tobias	NE	NE
11	13	am	APPRART	APPRART
11	14	12.	ADJA	ADJA
11	15	Kapitel	NN	NN
11	16	/	$(	$(
11	17	der	ART	ART
11	18	Könige	NN	NN
11	19	und	KON	KON
11	20	Fürsten	NN	NN
11	21	Rat	NN	NN
11	22	und	KON	KON
11	23	Heimlichkeit	NN	NN
11	24	soll	VMFIN	VMFIN
11	25	man	PIS	PIS
11	26	verschweigen	VVINF	VVINF
11	27	/	$(	$(
11	28	aber	KON	KON
11	29	Gottes	NN	NN
11	30	Werk	NN	NN
11	31	soll	VMFIN	VMFIN
11	32	man	PIS	PIS
11	33	herrlich	ADJD	ADJD
11	34	preisen	VVFIN	VVINF
11	35	und	KON	KON
11	36	offenbaren	VVINF	VVINF
11	37	.	$.	$.
12	1	welches	PWS	PWS
12	2	ob	KOUS	KOUS
12	3	es	PPER	PPER
12	4	wohl	ADV	ADV
12	5	in	APPR	APPR
12	6	gemein	ADJD	ADJD
12	7	von	APPR	APPR
12	8	allen	PIAT	PIAT
12	9	Werken	NN	NN
12	10	und	KON	KON
12	11	Wohltaten	NN	NN
12	12	Gottes	NN	NN
12	13	/	$(	$(
12	14	sie	PPER	PPER
12	15	seien	VAINF	VAFIN
12	16	allgemein	ADJD	ADJD
12	17	oder	KON	KON
12	18	sonderbar	ADJD	ADJD
12	19	/	$(	$(
12	20	in	APPR	APPR
12	21	allen	PIAT	PIAT
12	22	Ständen	NN	NN
12	23	geredet	VVPP	VVPP
12	24	wird	VAFIN	VAFIN
12	25	/	$(	$(
12	26	so	ADV	ADV
12	27	kann	VMFIN	VMFIN
12	28	es	PPER	PPER
12	29	doch	ADV	ADV
12	30	nicht	PTKNEG	PTKNEG
12	31	unbillig	ADJD	ADJD
12	32	auch	ADV	ADV
12	33	insonderheit	ADV	NN
12	34	auf	APPR	APPR
12	35	diese	PDAT	PDAT
12	36	Werke	NN	NN
12	37	und	KON	KON
12	38	Gaben	NN	NN
12	39	Gottes	NN	NN
12	40	gezogen	VVPP	VVPP
12	41	werden	VAINF	VAINF
12	42	/	$(	$(
12	43	welche	PWAT	PRELS
12	44	zu	PTKZU	APPR
12	45	Erlangung	NN	NN
12	46	und	KON	KON
12	47	Erhaltung	NN	NN
12	48	der	ART	ART
12	49	Gesundheit	NN	NN
12	50	des	ART	ART
12	51	Menschen	NN	NN
12	52	ersprießlich	ADJD	ADJD
12	53	seien	VAINF	VAFIN
12	54	/	$(	$(
12	55	inmassen	KOUS	NN
12	56	denn	KON	KON
12	57	der	ART	ART
12	58	Engel	NE	NN
12	59	Raphael	NE	NE
12	60	eben	ADV	ADV
12	61	daher	PAV	PAV
12	62	seinen	PPOSAT	PPOSAT
12	63	Namen	NN	NN
12	64	hat	VAFIN	VAFIN
12	65	/	$(	$(
12	66	dass	KOUS	KOUS
12	67	er	PPER	PPER
12	68	ein	ART	ART
12	69	Arzt	NN	NN
12	70	Gottes	NN	NN
12	71	genannt	VVPP	VVPP
12	72	wird	VAFIN	VAFIN
12	73	/	$(	$(
12	74	auch	ADV	ADV
12	75	solchen	PIAT	PIAT
12	76	seinen	PPOSAT	PPOSAT
12	77	Namen	NN	NN
12	78	in	APPR	APPR
12	79	der	ART	ART
